,Body1 Torque Z(N.m),Time (ms),Excitation
19,-331.631248524689,19,755.04
20,-332.205930533329,20,755.04
21,-332.433506570544,21,755.04
22,-335.378347742123,22,755.04
23,-333.436008503249,23,755.04
24,-335.188017443768,24,755.04
25,-330.803889730617,25,755.04
26,-330.604013361523,26,755.04
27,-330.472512576816,27,755.04
28,-330.116026443962,28,755.04
29,-336.364098618078,29,755.04
30,-330.611628889905,30,755.04
0,-241.347175089502,0,555.6
1,-243.836274611499,1,555.6
2,-245.09578131905,2,555.6
3,-243.99582973512,3,555.6
4,-246.572097383894,4,555.6
5,-246.404207010406,5,555.6
6,-244.488316628388,6,555.6
7,-246.685078133132,7,555.6
8,-246.037307422086,8,555.6
9,-247.423425907152,9,555.6
10,-244.629989916665,10,555.6
11,-247.121131730716,11,555.6
12,-244.480836254405,12,555.6
13,-244.554882782251,13,555.6
14,-243.756820400891,14,555.6
15,-243.614889589308,15,555.6
16,-244.260248494,16,555.6
17,-244.509551614175,17,555.6
18,-245.829032689295,18,555.6
19,-244.433730843505,19,555.6
20,-244.779232400985,20,555.6
21,-244.830572597107,21,555.6
22,-247.43241927578,22,555.6
23,-245.525853876498,23,555.6
24,-247.310903343576,24,555.6
25,-243.811484394704,25,555.6
26,-243.663180848955,26,555.6
27,-243.802903298168,27,555.6
28,-243.180509890794,28,555.6
29,-247.895608954483,29,555.6
30,-243.425451919009,30,555.6
0,-90.4102749551178,0,208.32
1,-91.0046245844561,1,208.32
2,-91.8260590025802,2,208.32
3,-91.4858546032075,3,208.32
4,-93.3393821012762,4,208.32
5,-92.9673466125542,5,208.32
6,-91.60942814657,6,208.32
7,-93.0725912854884,7,208.32
8,-92.5206329997785,8,208.32
9,-93.675884496032,9,208.32
10,-90.8389464401343,10,208.32
11,-93.0587822742606,11,208.32
12,-90.8290470166286,12,208.32
13,-92.0233436400097,13,208.32
14,-91.117392368455,14,208.32
15,-90.8806476510123,15,208.32
16,-91.2288221976804,16,208.32
17,-91.0646586931445,17,208.32
18,-92.3466793610834,18,208.32
19,-91.7756653863839,19,208.32
20,-91.553731938828,20,208.32
21,-91.3160436805585,21,208.32
22,-93.5711273367195,22,208.32
23,-91.6096422267095,23,208.32
24,-93.6384685738228,24,208.32
25,-91.4156512904072,25,208.32
26,-91.2158201370626,26,208.32
27,-91.996552033537,27,208.32
28,-90.6983592749008,28,208.32
29,-92.7433194621383,29,208.32
30,-90.605541292799,30,208.32
0,-351.152479228315,0,810.24
1,-354.921376145852,1,810.24
2,-356.750284487685,2,810.24
3,-355.047055710631,3,810.24
4,-358.207044601962,4,810.24
5,-358.251675135262,5,810.24
6,-355.907421998292,6,810.24
7,-358.732456969526,7,810.24
8,-357.879697781714,8,810.24
9,-359.636756143841,9,810.24
10,-356.685311131143,10,810.24
11,-359.318451118321,11,810.24
12,-356.224646848374,12,810.24
13,-355.561576129069,13,810.24
14,-354.766260383999,14,810.24
15,-354.452824414344,15,810.24
16,-355.687362817828,16,810.24
17,-356.128787298284,17,810.24
18,-357.615756062319,18,810.24
19,-355.698094390877,19,810.24
20,-356.323801241237,20,810.24
21,-356.601656862162,21,810.24
22,-359.659945437617,22,810.24
23,-357.697507916338,23,810.24
24,-359.458252901998,24,810.24
25,-354.802590960368,25,810.24
26,-354.580577804173,26,810.24
27,-354.389837176564,27,810.24
28,-354.096492619258,28,810.24
29,-360.763214082786,29,810.24
30,-354.665370918696,30,810.24
0,-51.6662745509452,0,119.64
1,-51.7573224185131,1,119.64
2,-52.5286997377362,2,119.64
3,-52.3637817020747,3,119.64
4,-54.0550951707564,4,119.64
5,-53.6542469985569,5,119.64
6,-52.4256597808378,6,119.64
7,-53.7254603258948,7,119.64
8,-53.1682791624234,8,119.64
9,-54.3091523113747,9,119.64
10,-51.4145014637097,10,119.64
11,-53.5558833049619,11,119.64
12,-51.3895533526072,12,119.64
13,-52.8893378779365,13,119.64
14,-51.9288807675961,14,119.64
15,-51.6138286666891,15,119.64
16,-51.9798592493187,16,119.64
17,-51.6867101658109,17,119.64
18,-52.9969595472374,18,119.64
19,-52.6525619302963,19,119.64
20,-52.2517695058168,20,119.64
21,-51.9439088481804,21,119.64
22,-54.1612114667702,22,119.64
23,-52.1641718987304,23,119.64
24,-54.2871904059789,24,119.64
25,-52.3464226460772,25,119.64
26,-52.1012978589174,26,119.64
27,-53.0744329885283,27,119.64
28,-51.5541901199036,28,119.64
29,-52.9251003157071,29,119.64
30,-51.3996152743507,30,119.64
0,-159.923992524213,0,367.91999999999996
1,-161.405110737097,1,367.91999999999996
2,-162.379743899445,2,367.91999999999996
3,-161.703980281686,3,367.91999999999996
4,-163.873574189243,4,367.91999999999996
5,-163.578215088209,5,367.91999999999996
6,-161.972963666427,6,367.91999999999996
7,-163.754780134517,7,367.91999999999996
8,-163.182419575712,8,367.91999999999996
9,-164.408398926028,9,367.91999999999996
10,-161.627727846511,10,367.91999999999996
11,-163.980021089907,11,367.91999999999996
12,-161.59347920911,12,367.91999999999996
13,-162.257542774142,13,367.91999999999996
14,-161.421206990982,14,367.91999999999996
15,-161.270801326701,15,367.91999999999996
16,-161.682763780012,16,367.91999999999996
17,-161.727450152271,17,367.91999999999996
18,-162.997750573004,18,367.91999999999996
19,-162.034744617426,19,367.91999999999996
20,-162.099942045196,20,367.91999999999996
21,-161.992286283349,21,367.91999999999996
22,-164.367219530161,22,367.91999999999996
23,-162.44811150954,23,367.91999999999996
24,-164.339236430033,24,367.91999999999996
25,-161.565376618384,25,367.91999999999996
26,-161.413560294209,26,367.91999999999996
27,-161.876560327372,27,367.91999999999996
28,-160.926405423124,28,367.91999999999996
29,-164.193540836328,29,367.91999999999996
30,-160.970489357205,30,367.91999999999996
0,-182.891583166794,0,420.72
1,-184.660695701051,1,420.72
2,-185.704046496486,2,420.72
3,-184.911777782193,3,420.72
4,-187.192460725065,4,420.72
5,-186.929183511925,5,420.72
6,-185.238289360443,6,420.72
7,-187.132594684103,7,420.72
8,-186.544829149954,8,420.72
9,-187.807206731347,9,420.72
10,-185.031632923749,10,420.72
11,-187.425113850458,11,420.72
12,-184.974579649316,12,420.72
13,-185.468685539882,13,420.72
14,-184.647654698734,14,420.72
15,-184.510064143906,15,420.72
16,-184.970403997092,16,420.72
17,-185.077411720417,17,420.72
18,-186.354797742741,18,420.72
19,-185.266669819854,19,420.72
20,-185.417120444072,20,420.72
21,-185.353567688524,21,420.72
22,-187.782994086713,22,420.72
23,-185.871613259357,23,420.72
24,-187.72646508659,24,420.72
25,-184.757229745388,25,420.72
26,-184.612017870913,26,420.72
27,-184.978161275856,27,420.72
28,-184.128994679848,28,420.72
29,-187.803123848001,29,420.72
30,-184.225476983934,30,420.72
0,-517.025442127295,0,1198.68
1,-522.395969258896,1,1198.68
2,-525.496420142411,2,1198.68
3,-522.932378856987,3,1198.68
4,-526.920169173948,4,1198.68
5,-527.243633326392,5,1198.68
6,-524.367806067928,6,1198.68
7,-528.265964180328,7,1198.68
8,-526.827744028386,8,1198.68
9,-529.572472756045,9,1198.68
10,-526.051614904764,10,1198.68
11,-528.721279829408,11,1198.68
12,-524.752961720964,12,1198.68
13,-523.131662205687,13,1198.68
14,-522.378031535087,14,1198.68
15,-521.286820899345,15,1198.68
16,-523.977223990045,16,1198.68
17,-524.47513512641,17,1198.68
18,-526.40172673464,18,1198.68
19,-523.873885579133,19,1198.68
20,-524.718030547858,20,1198.68
21,-525.369549290098,21,1198.68
22,-529.450459351749,22,1198.68
23,-527.199414729422,23,1198.68
24,-529.295733955404,24,1198.68
25,-522.308289916564,25,1198.68
26,-521.880492271615,26,1198.68
27,-521.510822495135,27,1198.68
28,-521.616335115439,28,1198.68
29,-531.065523592588,29,1198.68
30,-522.680915205161,30,1198.68
0,-9.41466783128629,0,23.16
1,-8.94982094028439,1,23.16
2,-9.69509194684258,2,23.16
3,-9.71163496294345,3,23.16
4,-11.2377290353784,4,23.16
5,-10.8168449392046,5,23.16
6,-9.72209805574612,6,23.16
7,-10.8553848746837,7,23.16
8,-10.2792426213173,8,23.16
9,-11.424572322246,9,23.16
10,-8.44570292268576,10,23.16
11,-10.4977187430763,11,23.16
12,-8.38099873495361,12,23.16
13,-10.2220968162696,13,23.16
14,-9.18916676154615,14,23.16
15,-8.764539636288,15,23.16
16,-9.19340827807521,16,23.16
17,-8.7495990511272,17,23.16
18,-10.1082365582614,18,23.16
19,-10.0171830264592,19,23.16
20,-9.40619022744935,20,23.16
21,-9.02376204395636,21,23.16
22,-11.2232893979097,22,23.16
23,-9.17798028992306,23,23.16
24,-11.4175472108246,24,23.16
25,-9.76425512701372,25,23.16
26,-9.45466947908481,26,23.16
27,-10.6496930627087,27,23.16
28,-8.86444856054676,28,23.16
29,-9.50647758907971,29,23.16
30,-8.65464262743388,30,23.16
0,-103.555273488103,0,238.44
1,-104.318952620798,1,238.44
2,-105.163101887028,2,238.44
3,-104.761485874947,3,238.44
4,-106.672355684451,4,238.44
5,-106.312387739922,5,238.44
6,-104.909160452451,6,238.44
7,-106.43006596053,7,238.44
8,-105.877214942355,8,238.44
9,-107.04138222833,9,238.44
10,-104.21975315759,10,238.44
11,-106.465476888562,11,238.44
12,-104.210338792444,12,238.44
13,-105.302588037117,13,238.44
14,-104.412539532688,14,238.44
15,-104.197501398246,15,238.44
16,-104.548284402773,16,238.44
17,-104.425868144658,17,238.44
18,-105.7018362997,18,238.44
19,-105.055229024298,19,238.44
20,-104.890923245056,20,238.44
21,-104.677425220726,21,238.44
22,-106.950026267709,22,238.44
23,-104.998680605129,23,238.44
24,-106.998350746954,24,238.44
25,-104.675817199965,25,238.44
26,-104.488333616384,26,238.44
27,-105.206242784234,27,238.44
28,-103.978798281892,28,238.44
29,-106.253652699314,29,238.44
30,-103.909325644989,30,238.44
0,-241.284368622982,0,555.48
1,-243.772705802779,1,555.48
2,-245.031948305757,2,555.48
3,-243.932334840946,3,555.48
4,-246.508276301614,4,555.48
5,-246.340273979962,5,555.48
6,-244.424629550339,6,555.48
7,-246.621053744278,7,555.48
8,-245.973364190206,8,555.48
9,-247.359324703853,9,555.48
10,-244.56593193663,10,555.48
11,-247.056975240108,11,555.48
12,-244.416904013811,12,555.48
13,-244.491391881862,13,555.48
14,-243.693315962294,14,555.48
15,-243.551419425302,15,555.48
16,-244.196531739585,16,555.48
17,-244.445695281606,17,555.48
18,-245.765112876678,18,555.48
19,-244.370131657971,19,555.48
20,-244.715440722076,20,555.48
21,-244.766655421108,21,555.48
22,-247.368290578879,22,555.48
23,-245.461732013948,23,555.48
24,-247.246837894373,24,555.48
25,-243.748015907412,25,555.48
26,-243.599730628549,26,555.48
27,-243.739679651348,27,555.48
28,-243.117064819758,28,555.48
29,-247.831042827551,29,555.48
30,-243.361836519108,30,555.48
0,-15.1005790354508,0,36.12
1,-14.7109714814599,1,36.12
2,-15.4580379287347,2,36.12
3,-15.4507397087958,3,36.12
4,-16.9983547659762,4,36.12
5,-16.5794917011333,5,36.12
6,-15.4671614526239,6,36.12
7,-16.6221566249084,7,36.12
8,-16.0493623167476,8,36.12
9,-17.1928744097782,9,36.12
10,-14.2266180110389,10,36.12
11,-16.2909082982959,11,36.12
12,-14.1686894833622,12,36.12
13,-15.9633608700459,13,36.12
14,-14.940969679325,14,36.12
15,-14.5325586013789,15,36.12
16,-14.9503410625842,16,36.12
17,-14.527401317337,17,36.12
18,-15.8784661448089,18,36.12
19,-15.7529544088215,19,36.12
20,-15.1711538019299,20,36.12
21,-14.7986484042318,21,36.12
22,-16.9991480770437,22,36.12
23,-14.9609089000888,23,36.12
24,-17.1839540331843,24,36.12
25,-15.4931965105915,25,36.12
26,-15.1932048655652,26,36.12
27,-16.3576367223512,27,36.12
28,-14.6094337520733,28,36.12
29,-15.3491731887047,29,36.12
30,-14.4063220322633,30,36.12
0,-479.839435044732,0,1111.2
1,-484.896912741893,1,1111.2
2,-487.669461913941,2,1111.2
3,-485.286859300344,3,1111.2
4,-489.101198126565,4,1111.2
5,-489.373739977659,5,1111.2
6,-486.597750695528,6,1111.2
7,-490.244384052403,7,1111.2
8,-488.967584929783,8,1111.2
9,-491.442761488296,9,1111.2
10,-488.084852815559,10,1111.2
11,-490.769460924344,11,1111.2
12,-487.013571672804,12,1111.2
13,-485.587344654394,13,1111.2
14,-484.814552114616,14,1111.2
15,-483.956592568653,15,1111.2
16,-486.266794875166,16,1111.2
17,-486.777196479056,17,1111.2
18,-488.587463122904,18,1111.2
19,-486.177150275637,19,1111.2
20,-486.992062758633,20,1111.2
21,-487.556239434499,21,1111.2
22,-491.372892554577,22,1111.2
23,-489.210387695147,23,1111.2
24,-491.186508098918,24,1111.2
25,-484.793443902882,25,1111.2
26,-484.416484112769,26,1111.2
27,-484.048483277721,27,1111.2
28,-484.067869667869,28,1111.2
29,-492.919662891236,29,1111.2
30,-485.027441844923,30,1111.2
0,-21.3412635361006,0,50.400000000000006
1,-21.0340842426302,1,50.400000000000006
2,-21.7837328534294,2,50.400000000000006
3,-21.7500614082352,3,50.400000000000006
4,-23.3215548063366,4,50.400000000000006
5,-22.9051470556795,5,50.400000000000006
6,-21.773365477554,6,50.400000000000006
7,-22.952437569378,7,50.400000000000006
8,-22.3830357761827,8,50.400000000000006
9,-23.5249867085639,9,50.400000000000006
10,-20.5721191806576,10,50.400000000000006
11,-22.6497933598723,11,50.400000000000006
12,-20.5211138864455,12,50.400000000000006
13,-22.2650062852903,13,50.400000000000006
14,-21.2539021755583,14,50.400000000000006
15,-20.8627621842534,15,50.400000000000006
16,-21.2693195345816,16,50.400000000000006
17,-20.8690725673536,17,50.400000000000006
18,-22.2122064007562,18,50.400000000000006
19,-22.0490010964736,19,50.400000000000006
20,-21.4989187289644,20,50.400000000000006
21,-21.1373444778966,21,50.400000000000006
22,-23.3394203943218,22,50.400000000000006
23,-21.3087345137638,23,50.400000000000006
24,-23.5139468291688,24,50.400000000000006
25,-21.781634890406,25,50.400000000000006
26,-21.491837408365,26,50.400000000000006
27,-22.622954049827,27,50.400000000000006
28,-20.9149160728423,28,50.400000000000006
29,-21.7620356461942,29,50.400000000000006
30,-20.7194156411878,30,50.400000000000006
0,-161.914356036386,0,372.48
1,-163.420535294872,1,372.48
2,-164.400763559339,2,372.48
3,-163.71501090889,3,372.48
4,-165.894107642765,4,372.48
5,-165.601400636193,5,372.48
6,-163.988798141249,6,372.48
7,-165.780221057177,7,372.48
8,-165.206700756316,8,372.48
9,-166.435569701844,9,372.48
10,-163.655609590208,10,372.48
11,-166.011527364218,11,372.48
12,-163.619679650652,12,372.48
13,-164.268908308084,13,372.48
14,-163.434047111378,14,372.48
15,-163.285066186267,15,372.48
16,-163.700679738429,16,372.48
17,-163.750904156155,17,372.48
18,-165.021604965259,18,372.48
19,-164.047665022025,19,372.48
20,-164.120439989063,20,372.48
21,-164.016583357194,21,372.48
22,-166.395945378762,22,372.48
23,-164.477630357477,23,372.48
24,-166.365426852956,24,372.48
25,-163.574908173637,25,372.48
26,-163.423843083397,26,372.48
27,-163.878284320736,27,372.48
28,-162.937153735578,28,372.48
29,-166.239502051978,29,372.48
30,-162.985638139215,30,372.48
0,-328.355971563979,0,757.2
1,-331.869700346175,1,757.2
2,-333.562588591206,2,757.2
3,-331.9851533079,3,757.2
4,-335.02339277631,4,757.2
5,-335.022695579154,5,757.2
6,-332.765466327108,6,757.2
7,-335.453975959758,7,757.2
8,-334.654839385248,8,757.2
9,-336.318122755698,9,757.2
10,-333.413408685485,10,757.2
11,-336.023000142006,11,757.2
12,-333.032835999167,12,757.2
13,-332.516942866233,13,757.2
14,-331.722692527616,14,757.2
15,-331.464693240862,15,757.2
16,-332.551061418082,16,757.2
17,-332.961903121977,17,757.2
18,-334.405236596223,18,757.2
19,-332.589007408105,19,757.2
20,-333.165819783435,20,757.2
21,-333.395383545936,21,757.2
22,-336.344583417567,22,757.2
23,-334.401535306966,23,757.2
24,-336.1537293005,24,757.2
25,-331.75904836361,25,757.2
26,-331.558345835037,26,757.2
27,-331.424346942688,27,757.2
28,-331.070437486593,28,757.2
29,-337.335228260283,29,757.2
30,-331.568936038673,30,757.2
0,-397.072788428971,0,917.28
1,-401.33347341505,1,917.28
2,-403.465008989889,2,917.28
3,-401.512013679896,3,917.28
4,-404.913255094121,4,917.28
5,-405.0461916517,5,917.28
6,-402.534760621767,6,917.28
7,-405.643441459658,7,917.28
8,-404.663227703827,8,917.28
9,-406.639177911908,9,917.28
10,-403.570607524412,10,917.28
11,-406.238948755873,11,917.28
12,-402.923121435287,12,917.28
13,-401.973793919017,13,917.28
14,-401.179270439995,14,917.28
15,-400.718013487069,15,917.28
16,-402.291094381263,16,917.28
17,-402.777373013312,17,917.28
18,-404.365067883967,18,917.28
19,-402.255973189642,19,917.28
20,-402.965720154544,20,917.28
21,-403.342985175952,21,917.28
22,-406.644063046578,22,917.28
23,-404.628447617334,23,917.28
24,-406.432223350421,24,917.28
25,-401.210301605269,25,917.28
26,-400.938612333068,26,917.28
27,-400.655708456388,27,917.28
28,-400.477685984037,28,917.28
29,-407.94275250866,29,917.28
30,-401.189232875868,30,917.28
0,-237.991994279819,0,547.8000000000001
1,-240.440331423937,1,547.8000000000001
2,-241.685820682244,2,547.8000000000001
3,-240.603911954866,3,547.8000000000001
4,-243.162776338582,4,547.8000000000001
5,-242.988931512477,5,547.8000000000001
6,-241.086171062072,6,547.8000000000001
7,-243.26494948769,7,547.8000000000001
8,-242.621462132444,8,547.8000000000001
9,-243.99922022682,9,547.8000000000001
10,-241.208019762275,10,547.8000000000001
11,-243.693877488531,11,547.8000000000001
12,-241.065501361271,12,547.8000000000001
13,-241.163155653789,13,547.8000000000001
14,-240.364339894793,14,547.8000000000001
15,-240.224147747608,15,547.8000000000001
16,-240.85647761673,16,547.8000000000001
17,-241.098282585193,17,547.8000000000001
18,-242.414426089426,18,547.8000000000001
19,-241.036283055119,19,547.8000000000001
20,-241.371450121755,20,547.8000000000001
21,-241.416091907778,21,547.8000000000001
22,-244.006718335285,22,547.8000000000001
23,-242.100481177016,23,547.8000000000001
24,-243.888603040487,24,547.8000000000001
25,-240.420986426558,25,547.8000000000001
26,-240.273615562163,26,547.8000000000001
27,-240.42549479851,27,547.8000000000001
28,-239.791209102966,28,547.8000000000001
29,-244.446424435471,29,547.8000000000001
30,-240.027082210811,30,547.8000000000001
0,-471.760982597686,0,1092.24
1,-476.746147968293,1,1092.24
2,-479.450724337363,2,1092.24
3,-477.108557090721,3,1092.24
4,-480.884141629495,4,1092.24
5,-481.144579799187,5,1092.24
6,-478.391926223661,6,1092.24
7,-481.984671810117,7,1092.24
8,-480.74065134072,8,1092.24
9,-483.16098910179,9,1092.24
10,-479.835795062287,10,1092.24
11,-482.521759656814,11,1092.24
12,-478.810859787336,12,1092.24
13,-477.428729613845,13,1092.24
14,-476.652411953077,14,1092.24
15,-475.840729926636,15,1092.24
16,-478.072177775916,16,1092.24
17,-478.58344430391,17,1092.24
18,-480.369742978331,18,1092.24
19,-477.986373374009,19,1092.24
20,-478.793529617536,20,1092.24
21,-479.33898995502,21,1092.24
22,-483.100915118486,22,1092.24
23,-480.955770281347,23,1092.24
24,-482.909358694847,24,1092.24
25,-476.63971649692,25,1092.24
26,-476.273598604751,26,1092.24
27,-475.909047740721,27,1092.24
28,-475.909418394103,28,1092.24
29,-484.629308680886,29,1092.24
30,-476.845654427258,30,1092.24
0,-277.608968580872,0,639.48
1,-280.533344290232,1,639.48
2,-281.957068461911,2,639.48
3,-280.659812748617,3,639.48
4,-283.426740207715,4,639.48
5,-283.326157724802,5,639.48
6,-281.267569462662,6,639.48
7,-283.663432164415,7,639.48
8,-282.9622447852,8,639.48
9,-284.44927293885,9,639.48
10,-281.622111250226,10,639.48
11,-284.167353045209,11,639.48
12,-281.39053388331,12,639.48
13,-281.213443973961,13,639.48
14,-280.4199592536,14,639.48
15,-280.246841922726,15,639.48
16,-281.051888845793,16,639.48
17,-281.376541053311,17,639.48
18,-282.739056510001,18,639.48
19,-281.162405697203,19,639.48
20,-281.6129140173,20,639.48
21,-281.737464272405,21,639.48
22,-284.470786855756,22,639.48
23,-282.555788551805,23,639.48
24,-284.315673305203,24,639.48
25,-280.460588765733,25,639.48
26,-280.296729317295,26,639.48
27,-280.312241649666,27,639.48
28,-279.810394490296,28,639.48
29,-285.172798336241,29,639.48
30,-280.157138749693,30,639.48
0,-282.221847373569,0,650.16
1,-285.200830860937,1,650.16
2,-286.647120499266,2,650.16
3,-285.324519908328,3,650.16
4,-288.115973697613,4,650.16
5,-288.024277530701,5,650.16
6,-285.947499869486,6,650.16
7,-288.36930748497,7,650.16
8,-287.660362011127,8,650.16
9,-289.161659166537,9,650.16
10,-286.328937213112,10,650.16
11,-288.880621248875,11,650.16
12,-286.085452149447,12,650.16
13,-285.876947285379,13,650.16
14,-285.083651543227,14,650.16
15,-284.904874632349,15,650.16
16,-285.732712381927,16,650.16
17,-286.066168267744,17,650.16
18,-287.435056348913,18,650.16
19,-285.835906902113,19,650.16
20,-286.298893808943,20,650.16
21,-286.432868518456,21,650.16
